Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2019;4;7;8,4;0;2,1;2,9;75;89,7;100;14;43
02.01.2019;1,2;4,5;6,9;2,3;0,1;-2;63;73,4;86;12;39
03.01.2019;2,2;4;5,3;0;0;1,4;82;88,7;94;8;26
04.01.2019;2,7;3,5;4,4;0;4,7;1,1;93;96,5;100;10;35
05.01.2019;4;5,8;6,9;0;2,9;3,6;96;99,1;100;16;44
06.01.2019;4,8;5,6;6,9;0;1,1;4;85;95,3;100;11;33
07.01.2019;3,2;5,5;8,2;0;6,8;0,4;92;96,9;100;12;44
08.01.2019;4,3;6,5;8,5;0,6;4,1;3,1;75;85,3;100;21;65
09.01.2019;0,9;4;6,1;3;0;-0,7;59;78,7;91;16;50
10.01.2019;0,5;1,6;3;0;1;-0,9;81;86,6;93;7;19
11.01.2019;1,5;4,5;7,1;0;2,7;0,8;94;99,1;100;11;30
12.01.2019;5,6;6,3;7,4;0;2,8;4,5;87;95,1;100;14;44
13.01.2019;6,5;7,9;9,1;0;14,6;5,4;86;95,9;100;17;57
14.01.2019;2,3;4,9;6,9;2,3;3,1;1;77;88,2;97;13;48
15.01.2019;2,1;5,3;7,6;0;0,1;0,2;76;87,4;95;15;41
16.01.2019;5,7;6,2;6,9;0;0,2;3,8;73;79;93;17;44
17.01.2019;0,9;4,1;6;0,1;5,1;-0,4;86;92,2;97;15;44
18.01.2019;-0,9;0,6;3,1;5,9;0;-4,2;82;91,9;100;8;24
19.01.2019;-1,9;0,3;3,9;7,7;0;-5,3;57;73,4;87;11;28
20.01.2019;-3,6;-1;3;8,1;0;-7,3;53;68,3;85;6;20
21.01.2019;-4,6;-2,1;1,1;8;0;-7,5;66;80,2;90;7;20
22.01.2019;-4,2;-2,1;0,1;3,9;1,1;-6,2;65;80,5;93;18;46
23.01.2019;-2;-0,9;0,7;0,8;0;-3,4;72;78,8;92;11;30
24.01.2019;-3,2;-2,5;-1,9;0;0;-3,6;75;79,4;86;6;19
25.01.2019;-2,2;0,4;3,8;0;2,6;-2,6;78;89,2;100;9;30
26.01.2019;3,8;6;8;0;3;3,2;86;95,4;100;15;39
27.01.2019;3,3;5,6;7,2;0;6,4;2,3;87;92,2;96;15;44
28.01.2019;1,6;3,1;4,5;0;2,3;0,8;76;91,1;99;19;57
29.01.2019;1,2;2,4;5;3;0;0,1;56;79,8;95;13;33
30.01.2019;0;0,7;1,8;0;4;-0,7;71;88,6;100;8;26
31.01.2019;-2,2;-0,3;1,2;0,2;0,6;-4,5;85;92,8;97;8;30
01.02.2019;0,6;2,9;6,5;3,6;5,4;-1,4;78;87,3;98;12;37
02.02.2019;1,1;1,9;3,1;0;3;0,3;93;98,2;100;9;26
03.02.2019;0,5;2,5;5,9;3,9;0;-1,8;70;87,5;99;8;26
04.02.2019;-0,8;2,6;6;3,2;1,3;-3,2;55;77,3;97;13;41
05.02.2019;2,4;3,7;5,5;0;0;0,5;86;92,1;98;9;22
06.02.2019;2,3;5,6;9,8;0,4;2,2;0,7;50;71,1;89;16;35
07.02.2019;3,9;7,1;10,2;2,5;0,4;2,9;61;76,7;93;21;52
08.02.2019;6;8;9,8;0;3,8;4,7;71;78,1;87;13;43
09.02.2019;6,9;8,5;10,7;3,2;9,8;5,5;61;76,1;92;22;80
10.02.2019;2,9;7,3;10,3;0,2;19,2;2,2;75;89,7;96;21;70
11.02.2019;2,8;4,6;6,5;2,8;1,7;0,8;73;88,2;96;14;44
12.02.2019;1,3;4;7,3;1,8;0;-0,3;76;86,5;95;10;26
