Jahr;Monat;Lufttemperatur in °C Mittelwert;Lufttemperatur in °C Höchstwert;Lufttemperatur in °C Tiefstwert;Sommertage (Höchstwert 25 °C und mehr);Heiße Sommertage (Höchstwert 30 °C  und mehr);Frosttage (Tiefstwert unter 0 °C);Nebeltage;Sonnenscheindauer in Stunden;Niederschlag in mm;Niederschlag in mm Tageshöchstwert;Luftfeuchtigkeit in hPa (relative Feuchte);Luftdruck in hPa Mittelwert
2016;Januar;4,7;14,1;-6,9;0;0;7;0;63;71;10,9;83;1011,9
;Februar;4,6;12,7;-6,6;0;0;13;0;80;73;14,3;80;1011
;März;5,3;15,6;-6,3;0;0;14;3;111;44;10;77;1015
;April;9,3;20,3;-0,6;0;0;2;1;163;55;9,8;70;1012,9
;Mai;15,1;26,3;0,8;6;0;0;0;202;58;25,1;66;1013,8
;Juni;17,5;33,4;9,1;7;1;0;2;137;139;22;80;1013,9
;Juli;19,5;35;7,6;10;3;0;1;192;25;5,8;72;1017,3
;August;18,9;33,5;6,4;11;5;0;0;221;44;10,7;73;1018,9
;September;18,4;32,6;6,8;11;4;0;0;219;14;9,6;70;1018,4
;Oktober;10;19,8;-1,1;0;0;1;3;90;38;12,6;85;1021,4
;November;6,1;14,6;-7,3;0;0;7;3;55;58;9,5;84;1015,3
;Dezember;4,5;11,3;-8,1;0;0;12;2;80;23;6,9;87;1029,5
2017;Januar;0,7;9,6;-9,9;0;0;20;3;92;44;13,2;78;1023,5
;Februar;5,8;15,5;-4,8;0;0;9;0;68;58;15,3;74;1016,2
;März;9,5;23,5;-0,9;0;0;1;2;149;59;16,4;65;1016,3
;April;8,5;23,1;-4,1;0;0;7;1;141;20;13,2;65;1021,2
;Mai;16;33,8;-0,5;7;2;1;1;226;42;8,8;63;1017
;Juni;19,5;35,2;8,7;13;5;0;0;214;39;10,1;59;1014
;Juli;19,4;32,8;7,3;16;2;0;0;186;96;18,1;68;1014,3
;August;18,4;30,7;9,5;8;1;0;1;157;73;15,8;74;1016,7
;September;14,4;25,5;6,2;1;0;0;3;121;90;27;78;1014,6
;Oktober;13,2;24,1;2,1;0;0;0;1;86;43;5,5;79;1019
;November;6,9;15,4;-2,4;0;0;4;2;45;65;12,2;85;1015,4
;Dezember;4,6;14,3;-2,1;0;0;8;4;10;113;20,8;87;1013,6
2018;Januar;5,9;14,6;-1,3;0;0;1;2;22;85;18,3;82;1007,5
;Februar;0,2;8,3;-9,1;0;0;23;2;139;15;3,6;72;1013,1
;März;5,2;16,1;-8,7;0;0;10;1;110;51;10,3;72;999,7
;April;13,7;28,8;-1,1;4;0;2;2;155;45;15,3;68;1007,1
